emp_no,last_name,first_name,gender,to_date,salary
10795,Naudin,Supot,M,1994-05-03,84206
10103,Birch,Akemi,M,1999-01-12,68158
10126,Valtorta,Kayoko,M,1986-09-08,40000
10808,Leijenhorst,Chenxi,M,1988-03-06,40000
10835,Kermarrec,Tomoyuki,M,1996-08-21,40000
10836,Leivant,Jianhua,F,1988-08-09,65502
10129,Peir,Armond,M,1997-01-15,40000
10844,Koprowski,Dipayan,M,1998-04-25,40000
10847,Danley,Theirry,M,1987-07-25,40000
10130,Casperson,Nishit,M,1989-06-21,40000
10848,Bratsberg,Fen,F,1986-04-20,50475
10134,Siprelle,Diederik,M,1988-12-11,40000
10138,Shimshoni,Perry,M,1993-03-03,53574
10150,Perng,Zhenbing,F,1987-11-16,70122
10878,Deville,Lakshmi,M,1998-04-25,72102
10879,Chleq,Muzhong,F,1986-08-15,65651
10883,Champarnaud,Shimshon,M,1997-12-28,40000
10153,Majewski,Heekeun,M,2001-01-07,54246
10157,Aloisi,Nigel,M,1998-12-10,48770
10909,Atchley,Georgi,M,1994-12-26,80935
11112,Mukaidono,Boaz,M,1996-04-27,40000
10921,Bahi,Mara,F,1987-07-27,72601
10924,Atchley,Hironoby,F,1989-08-14,84783
10927,Scallan,Gal,M,1987-09-12,51819
10936,Schicker,Mountaz,F,1991-05-09,40000
10943,Skafidas,Berna,M,1994-05-22,45890
11113,Peng,Shahab,F,1986-11-30,66401
10965,Braunschweig,Eckart,M,1987-07-29,61654
10969,Noriega,Premal,M,1995-05-12,40000
10974,Papsdorf,Muneo,M,2000-05-16,56005
11121,Kakkad,Vugranam,F,1993-10-31,40000
10986,Schiper,Masako,M,1986-10-11,43900
10988,Deyuan,Chinya,M,1986-06-19,54174
10989,Candan,Sumali,F,1986-07-20,46406
11133,Azulay,Nalini,M,1995-03-06,40000
10990,Foote,Shin,M,1991-08-06,40000
11134,Rajcani,Sachar,F,1994-05-19,58731
11009,Axelband,Alper,F,1987-09-09,75111
11137,Luca,Hugh,M,1996-03-15,40000
11012,Speckmann,Taegyun,F,1997-07-06,72092
11139,Homond,Bogdan,F,1991-05-11,63596
11019,Huttel,Leon,M,1993-05-24,69387
11146,Masand,Ishfaq,F,1992-08-21,96019
11021,Henders,Srinidhi,F,1999-02-02,62670
11148,Botman,Zhanqiu,F,1991-02-08,56344
11027,Cappello,Remzi,M,1987-05-07,40000
11162,Narlikar,Kauko,F,1986-03-28,69873
11031,Walstra,Ottavia,M,1986-10-24,71654
11037,Maliniak,Lansing,M,1989-01-27,40000
11038,Beidas,Jinya,M,1986-07-15,44993
11042,Breugel,Gou,F,1994-06-21,40000
11180,Bojadziev,Mitsuyuki,F,1987-06-11,40000
11048,Demke,Jaques,M,2000-05-26,65697
11050,Katiyar,Elvis,M,1987-05-06,52251
11051,Erol,Przemyslawa,F,1992-03-26,40000
11197,Fordan,Tadahiro,M,1990-09-12,88741
11204,Covnot,Diederik,M,1986-09-18,40000
11070,Raney,Adib,M,1986-07-24,40000
11207,Gips,Saeed,F,2000-01-31,49728
11081,Boyle,Barry,M,1986-06-17,65686
11208,Valtorta,Saniya,F,1995-11-17,83660
11085,Thummel,Hailing,M,1997-02-09,66437
11211,Rissland,Yurij,M,1986-09-17,72668
11217,Mawatari,Kellie,M,1991-03-11,40000
11232,Crelier,Hidefumi,M,1995-08-02,43863
11100,Cochrane,Berna,M,1987-10-13,40000
11106,Iwayama,Aris,F,1986-08-31,71446
11240,Condotta,Kiam,M,1990-01-06,61739
11249,Cyre,Randi,M,1987-09-22,43324
11251,Chinal,Bezalel,M,1987-06-15,69432
11268,Petersohn,Aimee,F,1988-10-24,40000
11319,Marrakchi,Pranas,F,1999-11-01,40000
11320,McAlpine,Atilio,M,1991-04-05,45118
11322,Pocchiola,Nathalie,F,1986-07-07,43021
11324,Billingsley,Kauko,F,1986-08-29,54288
11338,Hanratty,Kwangsub,M,1999-10-28,82210
11339,Massonet,Flemming,M,1990-12-19,40000
11347,Jonsson,Anneli,M,1987-04-20,41524
11365,Shinomoto,Toshimi,M,1998-12-18,56463
11376,Suomi,Valery,M,1987-03-14,46964
11380,Pelc,Kenroku,M,1992-04-18,53345
11385,Ullian,Shiv,M,2000-08-07,40000
11386,Assaf,Alselm,F,1988-11-29,47726
11393,Junot,Junsik,M,1986-04-30,40000
11398,Peir,Oscar,M,1995-09-07,44625
11404,Borovoy,Bedrich,M,1991-09-25,42907
11415,Anido,Sanjiv,M,1997-12-07,40000
11421,Msuda,Josyula,F,1987-09-02,52416
11441,Aingworth,Marlo,M,1988-03-26,67352
11449,Asser,Kotesh,M,1996-02-03,61434
11459,Suomi,Duke,M,1987-05-03,40000
11469,Giaccio,Guttorm,M,1995-09-08,44625
11506,Picel,Rance,F,1997-04-08,89747
11509,Feldhoffer,Aleksander,M,1988-11-11,40000
11513,Mahnke,Otmar,M,1993-08-25,82525
11515,Basawa,Ulf,F,1999-09-21,70182
11518,Oxman,Jinxi,M,1995-09-22,40000
11524,Standera,Xiadong,M,1997-07-05,41081
11527,Boyle,Alagu,M,2000-01-28,60212
11275,Eppinger,Hitomi,F,1990-04-25,58382
11528,Dolinsky,Zito,M,1988-06-14,44026
11290,Dredge,Visit,M,2000-05-12,65034
11537,Pehl,DAIDA,M,1987-07-06,96023
11295,Lanzelotte,Abdelkader,M,1986-05-15,66622
11554,Taubenfeld,Subhash,M,1999-07-15,46065
11555,Perfilyeva,Kotesh,M,1987-10-14,40000
11673,Felder,Henk,F,1990-06-10,40000
11567,Mitzlaff,Teiji,M,1989-02-02,86261
11568,Fujisaki,Martins,M,1993-03-13,54673
11676,Ferriere,Valeri,F,1999-07-15,43310
11681,Benzmuller,Fumitake,F,1989-08-27,40000
11684,Gide,Oksana,F,1987-02-21,68753
11603,Swen,Herb,F,1986-04-13,69180
11607,Foong,Tomokazu,F,1996-04-18,49584
11696,Rothe,Dante,M,1986-10-23,51633
11615,Isaak,Shem,F,1992-08-28,46591
11624,Gammage,Adil,M,1990-07-15,42001
11628,Malinowski,Fan,M,1989-10-23,43966
11732,Ranft,Sanjoy,F,1997-12-22,40000
11640,Coorg,Valeri,M,1989-09-26,52520
11647,Nitsche,Magy,M,1989-05-11,40000
11660,Stenning,Gill,F,1987-11-22,65758
11735,Picci,Amalendu,M,1989-07-14,40000
11853,Kusakabe,Zeljko,F,1989-11-17,61941
11746,Marrakchi,Koichi,F,1989-11-17,55951
11857,Farrag,Divier,F,1987-08-27,94805
11864,Kriebel,Pradeep,F,1996-11-01,52517
11871,Sommen,Nalini,M,1994-10-13,67424
11872,Riexinger,Cheong,M,1995-02-12,43159
11751,Emiris,Jiafu,M,1989-11-03,40000
11764,Anick,Sanjay,F,1992-12-15,64875
11769,Lampe,Chandrasekaran,M,1994-10-22,40000
11894,Validov,Mitchel,M,1989-06-22,56198
11772,Penz,Gaurav,F,2000-11-06,61295
11897,Setlzner,Cordelia,M,1989-06-16,80049
11906,Boguraev,Hideo,F,2000-02-07,81324
11797,Thambidurai,Chenxi,M,1989-08-30,88050
11915,Mawatari,Miomir,M,1993-06-28,58042
11931,Chiodo,Gunilla,F,1992-01-13,73369
11933,Erman,Basil,M,1988-06-12,56130
11810,Bhattacharjee,Amabile,M,1993-01-04,41256
11949,Harbusch,Martijn,M,1986-03-11,40000
11817,Markovitch,Niranjan,M,1987-04-12,50638
11983,Hedayat,Jaana,M,1987-10-11,40000
11832,Zlotek,Arto,M,1997-02-03,40000
11993,Dalphin,Marit,M,1997-10-22,56505
11844,Demeyer,Shawna,M,1989-01-26,78049
12011,Coorg,Zhilian,F,1989-07-22,85833
12221,Melter,Vincent,M,1986-09-16,56736
12222,Holburn,Abdelwaheb,F,1988-08-14,55840
12223,Koyama,Niteen,F,1987-08-13,54459
12247,Penttonen,Subbu,F,1986-04-09,59183
12036,Ratzlaff,Mads,M,1987-09-05,67143
12037,Katzenelson,Arunas,M,1987-10-01,47805
12050,Tchuente,Yuchang,F,1990-04-01,46704
12062,Worfolk,Margareta,M,1997-01-03,44199
12069,Burnard,Ayonca,M,1986-05-13,51928
12070,Shokrollahi,Ger,M,1989-11-14,50233
12076,Siprelle,Karlis,F,1986-03-25,75381
12249,Sadowski,Eldridge,M,1988-06-20,70099
12082,Yamaashi,Xinan,M,1987-01-29,72118
12256,Reghbati,Guadalupe,F,1986-08-26,40000
12089,Socorro,Bilhanan,M,1987-10-22,46288
12264,Pagter,Mart,M,1999-01-09,51816
12099,Kuzuoka,Nobuyoshi,M,1995-02-15,104610
12270,Kornyak,Shakhar,M,1990-08-19,52840
12112,Avouris,Satyanarayana,M,1990-09-26,76538
12272,Grandbois,Behnaam,F,1988-12-07,43811
12308,Cronau,Mototsugu,M,1986-08-11,58741
12122,Krone,Satoru,F,1988-07-23,46398
12123,Syrzycki,Xiahua,F,1988-07-17,64879
12125,Erman,Shounak,F,1998-03-31,41215
12149,Grandbois,Suebskul,M,1989-10-01,109934
12159,Perly,Shem,M,1986-07-17,61210
12311,Lubachevsky,Susanne,M,1986-10-22,40000
12165,Maquelin,Xiaobin,F,1995-08-29,41951
12327,Bruckman,DAIDA,M,1987-10-16,67449
12183,Iisaku,Harngdar,M,1999-04-04,40000
12192,Klyachko,Feiyu,F,1987-09-02,41625
12205,Rossi,Sushant,M,1988-11-10,40000
12341,Luga,Rasiah,M,1986-05-25,40000
12206,Janetzko,Barton,F,1986-03-27,40000
12218,Strooper,Yaghout,M,1992-03-11,40000
12343,Slaats,Sorina,M,1989-08-25,52134
12365,Bisiani,Kamakshi,M,1989-09-12,40000
12411,Ibel,Shao,M,1987-08-17,97610
12413,Gadepally,Hugh,F,1995-03-04,53179
12417,Spelt,Dannz,F,1999-02-02,67342
12422,Demos,Berhard,F,1994-06-07,71376
12373,Driscoll,Mooi,F,1994-11-11,75986
12454,Farris,Kerryn,F,1999-12-18,41347
12464,Milicic,Shai,F,1999-06-01,50448
12475,Roison,Filipe,M,1988-04-25,40000
12487,Reghbati,Mona,F,1999-12-07,40000
12395,Felder,Sanjit,M,1996-06-04,66909
12489,Munck,Arnould,F,1987-04-11,63306
12490,Muchinsky,Jackson,F,1995-05-09,40000
12497,Penz,Stein,M,1990-09-25,81191
12501,Matheson,Morrie,F,1987-06-05,76082
12504,Rosaz,Adly,F,1998-08-14,40000
12399,Luga,Mihalis,M,1988-12-06,85582
12514,Melter,Tomofumi,M,2000-11-12,54241
12596,Roisin,Breannda,M,1997-09-29,40000
12528,Cincotta,Conor,F,1989-09-24,40000
12534,Gerlach,Yongmao,M,1986-08-14,66715
12541,Nanard,Shih,M,1989-08-31,93105
12542,Bouloucos,Kazuhide,F,1988-09-11,44176
12551,Tzvieli,Jeane,M,1988-12-03,40000
12553,Vesna,Aral,M,1988-02-28,40000
12557,Kopetz,Stafford,M,1989-03-20,41840
12589,Chleq,Anoosh,M,1989-09-08,59441
12790,Perl,Gunilla,F,1996-08-07,87760
12795,Fordan,Masoud,M,1989-06-23,56969
12798,Beeson,Lillian,F,1988-12-26,81145
12803,Boissier,Gad,M,1986-03-16,91789
12815,Junot,Sushant,M,1986-02-27,65073
12819,Gubsky,Mountaz,M,1990-09-09,48455
12601,Simkin,Ghassan,M,1993-07-09,41714
12608,Mondadori,Nectarios,M,1992-02-22,40000
12848,Smeets,Kazuhide,M,1998-05-11,40000
12635,Restivo,Xinyu,F,1996-02-03,40000
12863,Matheson,Leif,M,1986-09-06,62803
12872,Schmittgen,Marl,F,1987-09-09,56040
12879,Eugenio,Baruch,M,1991-06-11,40000
12638,Seiwald,Yuqun,F,2000-04-28,56677
12642,Gips,Suebskul,F,1997-10-28,68271
12890,Casley,Neven,F,1986-10-31,66803
12893,Crouzet,Licheng,M,1988-03-17,50803
12651,Bael,Pragnesh,M,1989-01-26,75150
12895,Serot,Roddy,M,1994-08-15,40000
12905,Gecsei,Munehiro,M,1988-07-18,58659
12662,Alvarado,Leucio,M,1986-08-27,69016
12926,Luby,Heekeun,M,1986-12-24,68314
12663,Stellhorn,Nobuyoshi,M,1987-09-29,49966
12664,Parveen,Zhonghua,M,2000-08-03,40000
12940,Farrar,Odinaldo,F,1988-12-11,49760
12941,Perelgut,Tommaso,F,1987-11-06,67069
12689,Boudaillier,Luerbio,M,1993-11-23,59689
12949,Asrin,Geoff,F,1988-02-12,40000
12691,Gils,Oddvar,M,1993-08-25,48493
12697,Brizzi,Uri,M,1987-07-11,40000
12709,Botman,Ronghao,M,1996-02-26,45510
12977,Markovitch,Byong,M,1988-08-23,61326
12983,Hambrick,Elliott,F,2000-06-27,57252
12717,Jiafu,Tzu,F,2000-10-19,53194
12722,Cheshire,Elliott,F,1986-03-29,62325
12726,Panwar,Fumitake,M,1995-05-19,61177
12729,Rahier,Nahla,F,1993-10-15,51796
12731,Waymire,Yongmao,F,1989-04-05,40000
12732,Takanami,Mara,M,1989-04-06,74436
12734,Frijda,Gil,M,1987-03-03,40000
13030,Kroll,Yahiko,M,1994-11-25,51770
12755,Rodite,Rildo,F,1988-03-17,40196
13046,Stafford,Vivian,M,1988-04-18,40000
13047,Chelton,Atilio,M,1993-02-25,52323
12773,Lovengreen,Jenwei,M,1986-03-05,65556
13075,Morrin,Rosella,M,1987-08-17,40000
13076,Skafidas,Deniz,F,1996-01-28,50582
13096,Armand,Ibibia,M,1995-04-22,52544
13103,Ellozy,Srinidhi,F,1989-06-19,40000
13146,Erie,Haldon,M,1986-05-25,61398
13124,Garnick,Quingbo,F,1986-03-17,73785
13147,Ginesta,Shichao,M,1994-06-29,77429
13133,Senzako,Guther,M,1986-09-03,67777
13134,Chepyzhov,Lorien,M,1988-10-22,51227
13156,Millington,Akeel,M,1993-08-18,48285
13144,Nollmann,Persi,M,1990-06-19,52825
13165,Benner,Lucian,F,1989-03-16,42796
13168,Stentiford,Munir,F,1988-09-10,49210
13170,Bernardeschi,Cheong,M,1994-01-09,49012
13171,Birnbaum,Anoosh,M,1988-08-30,40000
13332,Pearson,Nidapan,F,1988-09-23,40000
13333,Hennebert,Yoshinari,M,1989-03-23,50997
13341,Doering,Bodh,F,1987-03-11,40000
13343,Usery,Heon,M,1989-07-29,40000
13173,Horswill,Arve,M,1988-09-23,46354
13179,Janocha,Moty,M,2000-02-19,90233
13368,Klassen,Kiyokazu,M,1998-09-30,52872
13371,Riexinger,Nakhoon,F,1992-12-12,40000
13182,Rodite,Kokou,M,2000-03-02,46832
13373,Naumovich,Juichirou,M,1992-08-23,82749
13186,Barbanera,Kyoichi,M,1987-04-29,93138
13385,Buchter,Claudi,M,1987-06-10,40000
13386,Sgarro,Khosrow,F,1987-02-23,91420
13389,Cmelik,Divine,F,1989-03-23,40000
13392,Beidas,Fumitake,F,1989-08-26,69221
13192,Flowers,Rosita,M,1994-02-01,43986
13396,Aumann,Chuanyi,F,1995-03-29,40000
13202,Scharstein,Aram,F,1987-03-29,51915
13402,Dulli,Augustine,M,2000-09-11,40000
13405,Baba,Randy,F,1991-05-10,60799
13407,Chenoweth,Gio,M,1993-10-03,60348
13408,Lagarias,Sreekrishna,M,1996-07-24,52479
13415,Speer,Nathalie,F,1992-04-24,61838
13422,Gerlach,Vishwani,F,1989-01-16,59466
13210,Klassen,Jianhua,M,1998-07-27,83961
13442,Miake,Giordano,M,1988-06-15,40000
13443,Puppo,Mayuko,M,1991-12-26,40000
13445,Dehkordi,Renee,M,1997-11-29,53194
13451,Weiland,Gretta,M,1987-08-23,40000
13213,Billawala,Hein,M,1989-08-30,61131
13457,Parfitt,Shooichi,M,1987-01-18,40812
13458,Nivat,Feipei,F,1990-03-02,41375
13232,Fujisaki,Mitchel,F,1987-06-02,40000
13463,Berstel,Theron,F,1989-01-25,40000
13465,Rehfuss,Sasan,M,2000-03-11,49821
13233,Chvatal,Alselm,M,1988-03-30,49414
13238,Foote,Ebru,F,1994-10-10,40000
13240,Pileggi,King,M,1995-03-10,49018
13250,Schusler,Zeydy,M,1989-10-28,47829
13272,Jiang,Arun,F,1986-03-10,40000
13493,Jullig,Uinam,F,1988-09-06,40000
13276,Seuren,Yechiam,M,1987-03-09,65836
13504,Mandell,Parto,F,1987-12-21,41895
13288,Broomell,Muneo,F,1988-04-13,40000
13291,Stamatiou,Georg,M,1987-10-30,54720
13302,Alencar,Mack,F,1991-09-26,40000
13524,Porotnikoff,Chaoyi,F,1996-10-27,52849
13315,Stroustrup,Sakthirel,F,1992-06-01,40000
13535,Schlenzig,Arunas,F,1987-05-19,40000
13546,Brookner,Aimee,F,1989-10-26,50295
13549,Koprowski,Matk,M,1998-06-18,40000
13552,Capobianchi,Ingmar,M,1986-03-23,73346
13704,Kumaresan,Vishu,F,1988-09-30,40000
13576,Engberts,Jungsoon,F,1993-08-29,73022
13605,Encarnacion,Dmitry,F,1986-09-29,70404
13721,Delgrossi,Sugwoo,F,1996-09-20,64754
13621,Haddadi,Fei,M,1988-02-09,73192
13624,Yurek,Zhigen,M,1988-05-11,40000
13629,Trelles,Dzung,M,1988-01-03,40000
13727,Merey,Vitali,M,2000-10-06,50798
13648,Lamba,Zejun,F,1986-11-16,47723
13738,Mitchem,Bangqing,F,1999-06-30,48349
13653,Iivonen,Kristen,M,1992-01-17,53242
13766,Heemskerk,Tremaine,M,1987-08-18,43748
13670,Takanami,Moti,F,1989-06-30,40000
13680,Speer,Denny,M,1997-02-04,46968
13685,Hockney,Weicheng,F,1992-11-28,48322
13697,Weedon,Shuichi,M,1986-06-20,40000
13894,Schonegge,Ult,F,1988-11-27,48958
13904,Cairo,Youngkon,M,1988-09-02,73885
13934,Bratsberg,Shiv,F,1991-04-04,46507
13942,Esteva,Elzbieta,M,1998-10-13,40000
13951,Genther,Mooi,F,1986-12-28,82054
13960,Hettesheimer,Nechama,M,1997-04-06,43204
13962,Ghelli,Maris,M,1995-10-26,67965
13966,Cooman,Boguslaw,F,1991-12-26,40000
13969,Chandrasekhar,Jianwen,F,1986-05-29,60392
13990,Schapiro,Deborah,F,1989-06-10,52723
13992,Kenevan,Ulises,M,1989-07-27,81318
13999,Crouzet,Florian,M,1996-02-25,40000
14005,Stellhorn,Vojin,M,1986-05-10,40000
14015,Picaronny,Manibrata,M,1998-08-15,63084
14034,Seghrouchni,Aloys,M,1986-08-26,69700
14041,DeMori,Shan,F,1988-12-21,63235
14067,Trachtenberg,Godehard,M,1995-02-14,44669
14088,Leslie,Mori,M,1988-11-09,44821
14107,Rindone,Xiahua,M,1992-12-14,82396
14111,Cummings,Leszek,F,1993-09-25,52696
14118,Anido,Kasturi,M,1986-04-06,46248
14167,Hertweck,Adas,F,1986-12-01,40000
14191,Luby,Jiann,F,1988-01-16,40155
13769,Trogemann,Yakichi,F,1989-10-18,61025
14209,Kusakabe,Masanao,F,1989-04-06,40000
13775,Maierhofer,Arve,M,1988-10-20,70161
14220,Pargas,Tomofumi,F,1988-12-01,68017
14232,Bojadziev,Masali,M,1995-09-10,50568
13786,Berendt,Takushi,F,1990-05-19,74494
14236,Angiulli,Xuedong,F,1989-11-07,40000
14237,Gerlach,Abdulla,F,1987-06-13,57219
14242,Benaini,Sudhanshu,F,1986-06-27,40000
13787,Sinicrope,Xiaobin,F,1991-10-30,40000
13792,Sury,Valery,M,1986-07-27,59127
13796,Thorelli,Paloma,M,1996-12-31,50962
14257,Massonet,Kwok,F,1999-02-04,40000
13809,Basagni,Kiyotoshi,M,1987-01-12,43735
13815,Plotkin,Guadalupe,M,1986-09-09,40000
14290,Olivero,Miyeon,M,1993-03-29,78736
13825,Pell,Arlette,M,1987-08-02,54704
14292,Vigier,Susanna,F,1989-02-18,41846
14298,Granlund,Chriss,F,1997-01-06,40000
13841,Spinelli,Christophe,M,1993-01-31,52277
14310,Leuchs,Marlo,M,1988-02-23,40000
14320,Schaar,Sreenivas,M,1987-06-30,40000
14322,Kakkad,Shem,M,2000-11-18,50363
14323,Leslie,Golgen,F,1998-08-05,40000
13842,Cichocki,Juichirou,F,1992-04-20,40000
13846,Welham,Guiseppe,M,1986-03-20,61097
14340,Wixon,Vitaly,M,1987-12-19,42858
14344,Buescher,Otilia,F,1989-12-16,41979
13853,Roohalamini,Mingsen,M,1992-03-24,61615
14354,Bojadziev,Mong,M,1986-08-28,40000
13859,Fujisawa,Anoosh,M,1988-08-22,40000
14360,Erbe,Janche,M,1998-08-01,43476
13884,Swift,Kensei,M,1999-12-21,44785
14372,Srimani,Saniya,F,2000-12-25,57667
14384,Holburn,Tomofumi,F,1989-02-12,58260
14460,Lueh,Yagil,F,1989-01-22,56267
14422,Gadepally,Toshimo,M,1986-10-20,59001
14478,Boissier,Munehiro,F,1993-06-28,40000
14434,Maginnis,Elvis,M,1990-09-21,40000
14439,Woycyznski,Raimond,M,1987-11-01,80654
14481,Lammel,Moti,M,1988-08-24,40000
14483,Marrevee,Supot,M,1987-01-30,40000
14632,McClurg,Gudjon,M,1988-07-31,40000
14486,Birdsall,Indrajit,M,1995-08-12,40000
14639,Hempstead,Arvind,F,1988-11-07,79405
14640,Kornatzky,Toshimori,M,1993-05-20,42662
14498,Selenyi,Xiong,M,1989-10-17,40000
14642,Kuhnemann,Florian,F,1988-06-04,54553
14645,Glinert,Laurentiu,F,1988-04-30,45647
14648,Lorys,IEEE,M,1987-11-16,89209
14659,Adachi,Sashi,F,1986-03-16,40926
14675,Angel,Teunis,F,1989-09-25,40000
14677,Sifakis,Herbert,M,1988-02-12,40000
14683,Basart,Alois,M,1987-12-02,41107
14690,Bellone,Yechezkel,F,1987-02-25,40000
14693,Stranks,Brewster,F,1987-05-05,59960
14710,Hainaut,Mahmut,F,1989-09-18,40341
14723,Assaf,Constantino,M,1994-06-01,40000
14724,Lemarechal,Aron,M,1987-09-10,66530
14780,Bruckman,Marlo,F,1987-09-19,51232
14785,Kaiser,Zhonghua,M,1989-06-23,46936
14793,Uchoa,Stein,M,1999-01-18,47045
14814,Nishimukai,Odysseas,M,1988-10-26,40000
14817,Masaki,Gaurav,M,1993-12-02,41203
14821,Kilgore,Oguz,M,1998-05-25,42545
14839,Cronin,Changho,M,1991-04-24,40000
14853,Nergos,Taiji,F,1989-03-07,58311
14877,Meriste,Arto,M,1989-06-06,40000
14879,Sigstam,Anyuan,M,1988-12-28,54322
14888,Barriga,Temple,F,1987-12-09,60916
14899,Casley,Alejandro,M,1986-02-22,64365
14906,Parveen,Adil,F,1988-12-10,54758
14908,Flanders,Kerhong,F,1993-09-17,40000
14909,Kamble,Mohan,M,1991-12-21,40000
14911,Chelton,Xiaobin,F,1988-04-05,62738
14914,Benzaken,Gretta,F,2000-09-24,40000
14915,Picco,Huican,M,1995-07-03,40733
14923,Gyorkos,Shuzo,M,1986-05-15,40000
14928,Mukaidono,Satoru,F,1986-05-17,53377
14941,Lichtner,Nathan,M,1989-12-22,43608
14942,Benveniste,Heon,M,1988-11-14,40000
14949,Reinhart,Insup,F,1988-10-07,44930
14954,Magliocco,Fox,F,1989-08-05,43510
14971,Simmen,Fan,M,1992-03-24,55187
14983,Pouyioutas,Hyuckchul,M,1989-12-26,86754
14993,Koblitz,Sanjay,M,1989-04-20,45407
15005,Sadowsky,Kiam,M,1987-05-23,50368
15016,Gulik,Woody,F,1992-10-20,40000
15018,Prenel,Ramalingam,F,1994-03-11,40668
15019,Shokrollahi,Qingxiang,F,1989-11-02,41721
15029,Koshino,Giordano,M,1992-04-26,40000
15030,Nourani,Rasikan,M,2000-04-10,40000
15036,Delgrande,Ziva,M,1995-11-04,40000
15049,Waymire,Khun,F,1992-01-17,40000
15052,Kranzdorf,Flemming,M,1994-01-27,40630
15055,Sherertz,Shrikanth,M,1992-07-15,40000
15066,Oaver,Tomokazu,M,1994-06-29,43455
15069,Siksek,Manton,M,1988-08-04,40000
15071,Couchot,Ayonca,F,1989-10-15,97484
15075,Rijsenbrij,Radoslaw,M,1987-04-24,40000
15077,Taubenfeld,Toshiki,F,1994-06-25,40000
15082,Zirintsis,Guadalupe,F,1987-04-01,63024
15087,Ushiama,Chirstian,F,1989-09-14,40000
15089,Coney,Giri,F,1988-05-13,48594
15092,Bahi,Remmert,F,1987-05-26,40000
15102,Axelband,Luigi,F,1993-11-04,40374
15105,Itzigehl,Sudhanshu,M,1990-11-22,75800
15114,Honglei,Pantung,M,1999-03-09,40000
15134,Luiz,Arun,F,1993-07-23,62752
15145,Servieres,Haldon,M,1989-04-19,51443
15151,Pouyioutas,Urs,F,1992-12-29,61253
15176,Sankaranarayanan,Charlene,M,1988-11-16,98401
15193,Schach,Neelam,M,1990-02-14,47039
